timestamp,open,high,low,close,volume
2025-12-01 00:00:00,427.99,430.3,426.0,427.96,15039.136
2025-12-01 00:05:00,427.97,428.73,401.54,412.83,146598.483
2025-12-01 00:10:00,412.84,415.49,408.0,411.03,59520.991
2025-12-01 00:15:00,411.04,412.32,406.88,409.42,34531.625
2025-12-01 00:20:00,409.43,411.19,401.1,407.62,58824.913
2025-12-01 00:25:00,407.61,409.21,404.27,404.62,21390.839
2025-12-01 00:30:00,404.61,406.47,401.1,402.73,33935.599
2025-12-01 00:35:00,402.73,407.51,387.0,394.71,172592.423
2025-12-01 00:40:00,394.74,399.33,393.18,395.97,39622.694
2025-12-01 00:45:00,396.0,399.34,393.95,396.58,24817.004
2025-12-01 00:50:00,396.58,397.9,389.6,390.24,32460.929
2025-12-01 00:55:00,390.21,394.85,389.3,392.44,31158.518
2025-12-01 01:00:00,392.44,394.88,389.44,391.31,28363.173
2025-12-01 01:05:00,391.32,393.42,383.08,384.3,43052.103
2025-12-01 01:10:00,384.3,391.75,382.52,387.29,57553.116
2025-12-01 01:15:00,387.3,392.34,387.12,389.12,21874.584
2025-12-01 01:20:00,389.11,391.06,387.16,389.71,19647.697
2025-12-01 01:25:00,389.82,390.19,388.02,388.44,11136.432
2025-12-01 01:30:00,388.46,389.28,383.17,384.61,32449.417
2025-12-01 01:35:00,384.59,385.95,381.01,383.46,36511.341
2025-12-01 01:40:00,383.46,386.96,381.92,385.77,26882.761
2025-12-01 01:45:00,385.77,386.22,382.23,383.65,11837.093
2025-12-01 01:50:00,383.65,384.94,383.0,383.29,14442.243
2025-12-01 01:55:00,383.3,384.67,377.22,383.32,40229.031
2025-12-01 02:00:00,383.32,387.32,382.34,387.0,18717.19
2025-12-01 02:05:00,387.0,388.4,383.81,383.87,23947.153
2025-12-01 02:10:00,383.9,388.35,382.69,386.37,15829.702
2025-12-01 02:15:00,386.35,390.88,385.39,389.05,25512.7
2025-12-01 02:20:00,389.04,391.97,387.25,391.62,32067.469
2025-12-01 02:25:00,391.6,392.04,388.8,388.84,23514.125
2025-12-01 02:30:00,388.86,391.0,387.0,387.03,13287.756
2025-12-01 02:35:00,387.04,388.57,385.83,387.6,17929.48
2025-12-01 02:40:00,387.59,390.42,386.97,387.01,11062.98
2025-12-01 02:45:00,387.0,387.35,382.16,383.52,31256.524
2025-12-01 02:50:00,383.52,385.43,380.42,385.37,16886.59
2025-12-01 02:55:00,385.36,385.99,383.69,383.88,7962.582
2025-12-01 03:00:00,383.89,384.36,381.81,382.94,11196.389
2025-12-01 03:05:00,382.94,383.64,378.06,379.52,25417.891
2025-12-01 03:10:00,379.53,380.73,379.09,379.7,12563.847
2025-12-01 03:15:00,379.7,379.95,375.0,376.55,36624.179
2025-12-01 03:20:00,376.54,378.49,375.0,375.96,21961.604
2025-12-01 03:25:00,376.0,377.06,373.66,376.28,19662.695
2025-12-01 03:30:00,376.28,378.51,374.0,374.58,23348.392
2025-12-01 03:35:00,374.58,375.79,372.47,374.24,19089.206
2025-12-01 03:40:00,374.3,378.39,374.3,378.19,16599.303
